posting_id,role,skill_id,name,facet,ai_era
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,databricks,Databricks,7,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,gcp,GCP,7,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,vertex_ai,Vertex AI,7,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,power_bi,Power BI,8,False
cake:Google/136878327150322374-marketing-data-scientist-4aa7e819d6cc3cc20cbd7cd7249d48,data_scientist,python,Python,1,False
cake:Google/136878327150322374-marketing-data-scientist-4aa7e819d6cc3cc20cbd7cd7249d48,data_scientist,r_lang,R,1,False
cake:Google/136878327150322374-marketing-data-scientist-4aa7e819d6cc3cc20cbd7cd7249d48,data_scientist,sql,SQL,1,False
cake:Google/136878327150322374-marketing-data-scientist-4aa7e819d6cc3cc20cbd7cd7249d48,data_scientist,machine_learning,Machine Learning (general),3,False
cake:Google/136878327150322374-marketing-data-scientist-4aa7e819d6cc3cc20cbd7cd7249d48,data_scientist,statistics,Statistics,3,False
cake:cloudlatitudesoftware/data-scientist-cl,data_scientist,python,Python,1,False
cake:cloudlatitudesoftware/data-scientist-cl,data_scientist,feature_engineering,Feature Engineering,3,False
cake:cloudlatitudesoftware/data-scientist-cl,data_scientist,machine_learning,Machine Learning (general),3,False
cake:cloudlatitudesoftware/data-scientist-cl,data_scientist,statistics,Statistics,3,False
cake:cloudlatitudesoftware/data-scientist-cl,data_scientist,ai_agents,AI Agents,5,True
cake:cloudlatitudesoftware/data-scientist-cl,data_scientist,llm,Large Language Models,5,True
cake:cloudlatitudesoftware/data-scientist-cl,data_scientist,rag,RAG,5,True
cake:cloudlatitudesoftware/data-scientist-cl,data_scientist,docker,Docker,6,False
cake:cloudlatitudesoftware/data-scientist-cl,data_scientist,gcp,GCP,7,False
cake:cloudlatitudesoftware/data-scientist-cl,data_scientist,vertex_ai,Vertex AI,7,False
cake:cloudlatitudesoftware/data-scientist-cl,data_scientist,rest_api,REST API,9,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,python,Python,1,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,sql,SQL,1,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,snowflake,Snowflake,2,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,machine_learning,Machine Learning (general),3,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,statistics,Statistics,3,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,ai_agents,AI Agents,5,True
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,aws,AWS,7,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,azure,Azure,7,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,databricks,Databricks,7,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,gcp,GCP,7,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,dashboard,Dashboarding,8,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,data_viz,Data Visualization,8,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,power_bi,Power BI,8,False
cake:entegris/5a802796-aea6-4cb5-abfd-d641ed99452f-data-scientist-sas-programming-5b54572d972b77a668623d8d6e777b,data_analyst,tableau,Tableau,8,False
cake:cathayins/8fafa0,ml_engineer,python,Python,1,False
cake:cathayins/8fafa0,ml_engineer,etl,ETL/ELT,2,False
cake:cathayins/8fafa0,ml_engineer,feature_engineering,Feature Engineering,3,False
cake:cathayins/8fafa0,ml_engineer,machine_learning,Machine Learning (general),3,False
cake:cathayins/8fafa0,ml_engineer,computer_vision,Computer Vision,4,False
cake:cathayins/8fafa0,ml_engineer,deep_learning,Deep Learning (general),4,False
cake:cathayins/8fafa0,ml_engineer,nlp,NLP,4,False
cake:cathayins/8fafa0,ml_engineer,pytorch,PyTorch,4,False
cake:cathayins/8fafa0,ml_engineer,tensorflow,TensorFlow,4,False
cake:cathayins/8fafa0,ml_engineer,langchain,LangChain,5,True
cake:cathayins/8fafa0,ml_engineer,llm,Large Language Models,5,True
cake:cathayins/8fafa0,ml_engineer,rag,RAG,5,True
